"numeroEvento","fechaInicio","fechaFin","duracionMinutos","codigoEstacionMayorAcumulado","valorMayorAcumulado","codigoEstacionMayorIntensidad","valorMayorIntensidad"
84,2012-10-24 13:25:00.000,2012-10-24 14:25:00.000,60.000000000000000,30,26.700000000000000,63,103.000000000000000
85,2012-10-24 18:30:00.000,2012-10-24 21:00:00.000,150.000000000000000,38,14.700000000000000,2,61.200000000000000
86,2012-10-24 21:00:00.000,2012-10-25 02:00:00.000,300.000000000000000,48,62.000000000000000,70,79.200000000000000
87,2012-10-25 13:30:00.000,2012-10-25 15:00:00.000,90.000000000000000,49,14.500000000000000,64,60.000000000000000
88,2012-10-25 19:10:00.000,2012-10-25 22:30:00.000,200.000000000000000,25,32.800000000000000,18,6.400000000000000
89,2012-10-26 03:00:00.000,2012-10-26 04:30:00.000,90.000000000000000,29,14.500000000000000,18,39.600000000000000
90,2012-10-28 18:50:00.000,2012-10-28 21:00:00.000,130.000000000000000,43,26.400000000000000,18,103.200000000000000
91,2012-10-29 20:10:00.000,2012-10-29 23:25:00.000,195.000000000000000,53,41.300000000000000,17,90.000000000000000
92,2012-10-29 23:40:00.000,2012-10-30 04:00:00.000,260.000000000000000,32,41.400000000000000,51,130.000000000000000
93,2012-10-30 13:10:00.000,2012-10-30 15:00:00.000,110.000000000000000,58,12.400000000000000,58,96.000000000000000
94,2012-10-30 14:30:00.000,2012-10-30 18:20:00.000,230.000000000000000,8,12.700000000000000,8,60.000000000000000
95,2012-10-30 20:00:00.000,2012-10-30 23:05:00.000,185.000000000000000,50,19.500000000000000,64,39.600000000000000
96,2012-10-30 23:30:00.000,2012-10-31 03:50:00.000,260.000000000000000,50,15.500000000000000,34,18.000000000000000
97,2012-11-01 01:30:00.000,2012-11-01 05:10:00.000,220.000000000000000,5,14.200000000000000,30,60.000000000000000
98,2012-11-01 22:50:00.000,2012-11-02 00:00:00.000,70.000000000000000,3,29.200000000000000,3,98.400000000000000
99,2012-11-04 17:40:00.000,2012-11-04 18:40:00.000,60.000000000000000,25,8.600000000000000,8,57.600000000000000
100,2012-11-04 23:00:00.000,2012-11-05 02:30:00.000,210.000000000000000,43,24.600000000000000,43,106.800000000000000
101,2012-11-05 14:10:00.000,2012-11-05 15:30:00.000,80.000000000000000,2,18.800000000000000,2,90.000000000000000
102,2012-11-06 13:00:00.000,2012-11-06 15:30:00.000,150.000000000000000,58,7.600000000000000,58,48.000000000000000
103,2012-11-07 21:30:00.000,2012-11-07 23:30:00.000,120.000000000000000,5,6.600000000000000,62,30.000000000000000
104,2012-11-10 22:00:00.000,2012-11-11 00:10:00.000,130.000000000000000,43,25.600000000000000,47,90.000000000000000
105,2012-11-11 05:30:00.000,2012-11-11 07:30:00.000,120.000000000000000,70,5.000000000000000,70,60.000000000000000
106,2012-11-11 21:00:00.000,2012-11-12 01:00:00.000,240.000000000000000,25,40.600000000000000,18,70.000000000000000
107,2012-11-12 12:05:00.000,2012-11-12 13:35:00.000,90.000000000000000,16,11.700000000000000,16,36.000000000000000
108,2012-11-13 14:30:00.000,2012-11-13 17:30:00.000,180.000000000000000,21,57.600000000000000,18,115.200000000000000
